"","SalePrice","LotFrontage","LotArea","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","GarageYrBlt","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","YrSold","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","MoSold","MSSubClass","MSZoning","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","FireplaceQu","GarageType","GarageFinish","GarageCond","SaleType","SaleCondition","dummy_garage","dummy_masvnr","dummy_RemodYear"
"SalePrice",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LotFrontage",0,0,0.924724912827697,0.309791037493706,0.194272516249891,0.832904120501648,0.792067889709678,0.656517513256549,0.813012868074418,0.339414364540933,0.784513023524035,0.0914776374191322,0.351887874547772,0.408957255933097,0.940301240821742,0.398788320886626,0.827629715224757,0.924275869563322,0.847863086957642,0.998488860867481,0.673313730307339,0.306677437306568,0.991303422193379,0.982638060017683,0.81103632326699,0.194061890843759,0.844989252898937,0.86561931237456,0.453705173067898,0.165373402138421,0.753199986219282,0.709698421509263,0.727474667537791,0.624431159593463,0.756506211190813,0.748028889474243,0.243350787639704,0.884767132712089,0.989848049379718,NA,0.832031711674336,0.476752863400959,0.994923516010652,0.839324424348943,0.618001388624108,NA,0.767003307448758,0.756573106650406,0.663654176366896,0.941586637799327,0.99247612784097,0.997707222227795,0.940920046290801,0.583199369300917,0.589022275761522,0.998694833155447,0.576373801007759,NA,0.668340751064005,NA,0.844989252904306,0.633131310527762,0.375457298725598,0.98277065792049,0.977932335763857,0.49684550080373,NA,0.0574936301642843,0.0983321979710805,NA,NA,NA
"LotArea",0,0,0,0.63944819599113,0.704832168196086,0.577524018435008,0.612508619102389,0.230560625900146,0.802105194825029,0.857137699777208,0.846976439007447,0.892358747039788,0.972212627153121,0.82617253707348,0.634665924578063,0.855200349029741,0.84799432433123,0.67619353913692,0.556998123720931,0.634898585139501,0.681518025603595,0.197944094694754,0.71169577845716,0.875206554874273,0.112908768771705,0.945587256300909,0.844989252897526,0.992571709096509,0.911577573893747,0.668301094896355,0.732579465275906,0.817796623378986,0.768415539212452,0.610527260042121,0.97930226970388,0.871296711841136,0.450509972116067,0.992314358335613,0.962678932055854,NA,0.934212488230353,0.512625256102093,0.997773565857317,0.528488468347488,0.281459934419321,NA,0.923772453290176,0.851730418688863,0.44258865182215,0.522327484985689,0.963719873658847,0.59064209083465,0.949172508869194,0.714085525951545,0.964658862122364,0.862999249919405,0.408287240274653,NA,0.260135749798722,NA,0.844989252897884,0.50721179988312,0.713122067628397,0.933228031269278,0.959526360204874,0.213926590343912,NA,0.564697821356655,0.75384006207728,NA,NA,NA
"YearBuilt",0,0,0,0,0.293119345689609,0.376310760438982,0.100355450099094,0.163918393037482,0.372182732078169,0.788771366848066,0.650151389400569,0.460978259471225,0.535483779531869,0.533148424361313,0.657729682472788,0.7546020891818,0.419076152483215,0.687866830842051,0.972708528522426,0.361312091516777,0.42489665527333,0.900183595263362,0.693504177704344,0.755884579870914,0.0634418679071407,0.20502765600178,0.844989252901516,0.124789911145591,0.997857845834834,0.5100697602591,0.941534901519168,0.796043275665796,0.947177249794204,0.614847708928235,0.583195478357069,0.782740528293132,0.449992293724255,0.988224530257355,0.780089583703046,NA,0.75135336762474,0.495293004837684,0.905690459731959,0.909618419447867,0.703863946934646,NA,0.984720854400471,0.875880739533455,0.0869139698200656,0.903686673976789,0.910349038273043,0.523935994436941,0.825183500235214,0.823906134767334,0.564998032537068,0.511943239471344,0.460753685890711,NA,0.335085450750289,NA,NA,0.350019784429333,0.725228788904652,0.689149216161529,0.693117325620212,0.94288540097427,NA,0.276824791435468,0.501756949654427,NA,NA,NA
"YearRemodAdd",0,0,0,0,0,0.46477707694822,0.109202595254209,0.859787968720821,0.459243136137883,0.772196720212146,0.992329262558283,0.603697000268487,0.714310934769526,0.334469353532915,0.325837986215505,0.47198243324126,0.791238211472722,0.543915224874358,0.926113740423519,0.410957741811136,0.787111843715617,0.371081793551257,0.778138557869904,0.361261165286425,0.222358947939211,0.915824648665049,0.84498925289081,0.364369824368562,0.554031082644197,0.359339218067306,0.340634600846616,0.919093663026081,0.947177249793385,0.603412132958911,0.62705925712188,0.448260433817563,0.424940105898806,0.941878622892922,0.865250712269556,NA,0.751353367624246,0.761498537521027,0.898394110862229,0.684070492809705,0.555690679595428,NA,0.937811697630436,0.94661472813177,0.0617659463067544,0.454610278772376,0.563323199876404,0.462949138994073,0.268752724605748,0.831676920708434,0.442547988258356,0.436490877715765,0.368938004226157,NA,0.794696152663749,NA,0.844989252879915,0.616153677259156,0.244743455925431,0.935888744308496,0.636220763229968,0.942051386659905,NA,0.394828670708783,0.393904774868874,NA,NA,NA
"MasVnrArea",0,0,0,0,0,0,0.324261215753109,0.87928715062164,0.276158343370491,0.699921510589726,0.871916837175272,0.67076108560369,0.590303401350564,0.283860070329092,0.915258242268073,0.638276652521993,0.836748027970707,0.869272344716446,0.599544905444557,0.469349931708204,0.218306751491415,0.121858879628995,0.83014895530875,0.872558626528729,0.0586693369096433,0.77454717343408,0.844989252897421,0.295617832500895,0.902016233092799,0.838222227992253,0.822997784096198,0.901430038755639,0.896439990773207,0.763340366498429,0.609669743109471,0.954613161749941,0.450107379222553,0.963378829108694,0.927931030236499,NA,0.691265917355202,0.82260387723589,0.94893546056281,0.534181056332763,0.359186619863293,NA,0.818435304740506,0.817787282833133,0.266362260059319,0.420074756886453,0.886049210304716,0.652967160705543,0.759802406911361,0.68982681204317,0.427912251042094,0.736755933284053,0.491788670564954,NA,0.423180066954666,NA,0.844989252897674,0.799432021143512,0.843046357902956,0.611365911260966,0.90283430050694,0.2656070965934,NA,0.730792034230316,0.824525519282109,NA,NA,NA
"BsmtFinSF1",0,0,0,0,0,0,0,0.837376544243734,0.046045652139882,0.00146584934402762,0.0268420325141699,0.195691710540961,0.436624928109085,0.0653538416357089,0.211140151095076,0.300423910226519,0.477271130514221,0.621194469860352,0.876095172015717,0.0355304543240976,0.319368474766757,0.671517834233511,0.692193477002962,0.650513216894754,0.894165720732415,0.02537857775977,0.844989252897621,0.830005908219923,0.288041359904835,0.048640250715887,0.0299559645937003,0.768021792523193,0.555239267188146,0.838334756477151,0.468617258918047,0.499735767328551,0.445183973567603,0.518668715661193,0.80122767067345,NA,0.960183678683295,0.354944076087767,0.370463237549385,0.751452982236956,0.532454451679132,NA,0.644574106643563,0.652857519139401,0.391964939720126,0.173411397636385,0.4891491189874,0.166829342243182,0.0111518200591861,0.949743209724938,0.274506487721365,0.963018063037957,0.496330339242357,NA,0.235319702561961,NA,0.844989252876273,0.50980545663585,0.715938469624147,0.246871975620136,0.919480911212185,0.440189266036789,NA,0.286793872616283,0.222522525316606,NA,NA,NA
"BsmtFinSF2",0,0,0,0,0,0,0,0,0.945455132973149,0.229827313979241,0.254821490049328,0.941893382833784,0.535567003384625,0.535499201595935,0.195708638454941,0.258518746670784,0.27055789965373,NA,0.844989252897779,NA,0.163542914514277,0.33094234774622,0.857473222886404,0.857604944142689,0.584363585230464,0.882892754029888,NA,0.639269003961066,0.333167539307326,0.138764533485942,0.908228170270164,0.904836642006997,NA,0.404625126618492,NA,0.136405383717181,0.78465017565663,0.691927275761299,0.304397765456888,NA,NA,0.904836642007019,0.508753561946208,0.911802854447681,0.831528684804427,NA,0.689400276729264,0.689400276729264,0.323064846610558,0.641101631063883,0.79817109008504,0.752764041921353,0.703577710951472,0.722710023432558,0.364667481970532,0.622966794494193,0.603626977561993,NA,0.444842799232366,NA,0.844989252897737,0.153125722268846,0.264662844740013,0.715633598138561,0.964090371842328,0.802447089921314,NA,0.720986799417219,0.844989252897884,NA,NA,NA
"BsmtUnfSF",0,0,0,0,0,0,0,0,0,0.143386467088288,0.19680787228737,0.482988269508106,0.696674138339167,0.299880329461183,0.253077569782271,0.589571588978862,0.888702837392732,0.737825185348572,0.293008158184821,0.262970494820673,0.515687802532277,0.136157136878018,0.781014172129382,0.375309074918534,0.356460066230631,0.310395242884927,0.844989252898189,0.762814128980562,0.513552763177336,0.0956470833527267,0.010519763473183,0.986665693708256,0.734486317644685,0.531034285215636,0.632202186768412,0.506003692746493,0.430414259442544,0.697493902365288,0.919830793295575,NA,0.992957095218959,0.843870243549236,0.887743002490394,0.807425161116903,0.668533732330288,NA,0.539678687935957,0.531594455364852,0.121715675825698,0.138306969008231,0.114523349889464,0.624044240185815,0.138695387135721,0.867005081764127,0.357978980861139,0.0435021255170657,0.537857890987644,NA,0.634919482748516,NA,0.844989252897095,0.625781905097787,0.20327788453045,0.572458244345581,0.678735788279357,0.470503421725754,NA,0.734271509123793,0.820365497074,NA,NA,NA
"TotalBsmtSF",0,0,0,0,0,0,0,0,0,0,0.439898759728366,0.625782287868483,0.219759522449234,0.513606661331545,0.0676317514381018,0.998668210240975,0.671584522361121,0.893166225442577,0.3509888821867,0.426581045223534,0.547102373662513,0.0417323392794892,0.879420909547051,0.991497400698488,0.0695619567867593,0.621124726848118,0.844989252898137,0.0155873004280307,0.399884566719942,0.766663417196544,0.7149708278877,0.693115527327956,0.687694026881012,0.110492563023285,0.293345655428372,0.683735062928849,0.449693044760759,0.325975272893734,0.916087956443569,NA,0.687901359902994,0.562395925727077,0.648849214121923,0.297033857572256,0.129726688209807,NA,0.825520691976795,0.946001305257832,0.113006855402787,0.998650334017986,0.502274379483282,0.989037565999625,0.298702787824303,0.934932824788597,0.0573847535437045,0.0371225189685315,0.473425981510203,NA,0.92944482090087,NA,0.844989252897368,0.936196836415787,0.960665929644858,0.478408966150987,0.948890888853578,0.873970897518187,NA,0.714804454561949,0.657377322705622,NA,NA,NA
"X1stFlrSF",0,0,0,0,0,0,0,0,0,0,0,0.725512600575939,0.725512600575945,0.368478208442378,0.0433109860650099,0.983451498059946,0.934483251109706,0.907139789847618,0.829125442210758,0.932611539951427,0.880574700376547,0.114536941553791,0.603841714494985,0.548991072855044,0.0545152006492852,0.48640526165714,0.8449892528972,0.156832412578221,0.520685158845893,0.588929550933513,0.535723636014009,0.604380293937353,0.729847098894798,0.0927806080066288,0.345843212206581,0.591024402333018,0.44943987715934,0.970949422699766,0.962871613175803,NA,0.801871542700339,0.716128290143451,0.75801050203613,0.767646416533639,0.225529200833166,NA,0.977098356340232,0.963125825918869,0.202654413903556,0.973899041912563,0.581499055379064,0.935629686658414,0.29353748989369,0.950272981577633,0.0542996807200719,0.343323938284262,0.517351380397978,NA,0.765118705969208,NA,0.844989252898158,0.978929059386088,0.578517125104784,0.451700714451675,0.969950004906972,0.858225430016331,NA,0.903550303436503,0.884871521638654,NA,NA,NA
"X2ndFlrSF",0,0,0,0,0,0,0,0,0,0,0,0,0.885142580234863,0.419568490581137,0.1320403394701,0.679328312004108,0.899732439879409,0.873156803066717,0.844526219962556,0.250134656411684,0.952819261854767,0.505769823417301,0.960933947187486,0.87620721884242,0.907635793617363,0.356760929102393,NA,0.0412311180932304,0.443148640597509,0.793903222186881,0.461176388718322,0.744221582684086,0.829020025560101,0.474759190952939,0.865066991450653,0.703918437864392,0.362359012681923,0.933859535196698,0.99292359838007,NA,0.842428195467358,0.539697867434018,0.951925999384596,0.764000986426618,0.992811811209028,NA,0.871081630218701,0.883267685771214,0.251607515666171,0.716212308199008,0.80669679384991,0.956053971561235,0.210886374128862,0.744914324754484,0.643405049764948,0.402812308972891,0.873977594110305,NA,0.496838736306422,NA,NA,0.931362445376106,NA,0.75437628550596,0.229151850444791,0.701373751859688,NA,0.815344895245334,0.75969051579343,NA,NA,NA
"GrLivArea",0,0,0,0,0,0,0,0,0,0,0,0,0,0.75344825386803,0.94590603141789,0.690975857108778,0.972039038204827,0.997495515338299,0.760695949539925,0.393744946074591,0.80804261701348,0.425273275217885,0.759106712886832,0.984109052472487,0.178589785976412,0.574350986898905,0.844989252898095,0.911254792675646,0.947808278318544,0.778749463807488,0.795346091140569,0.911227044330815,0.693620419275889,0.722265822744636,0.536824203008839,0.928342207917407,0.319934901310513,0.813841104242599,0.988614647883119,NA,0.81487163363638,0.952383837690575,0.776342110695114,0.730035018800835,0.204935948346632,NA,0.847507799107238,0.961740288222528,0.404092992354513,0.493171081560599,0.76423566135266,0.971011230886459,0.684524779854248,0.707647392650536,0.813227733711167,0.444448507135476,0.509609438319591,NA,0.440505610171999,NA,0.844989252897021,0.80090245869081,0.710016788889203,0.694447214570747,0.615137090807048,0.527862967406416,NA,0.756043555249837,0.91529978354446,NA,NA,NA
"GarageYrBlt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579591907337962,0.788800849869695,0.644377880238571,0.687866830842234,0.955373236336125,0.36767929807748,0.403154702213289,0.903672201398558,0.686849228437454,0.629132188606831,0.0788764131735877,0.239525591521158,0.844989252890147,0.189201096314965,0.939804530410819,0.376702450672234,0.467705376665774,0.811092479338529,0.971079142203992,0.649189488898658,0.398893186690441,0.889636987612559,0.44999229372424,0.980946234469201,0.817162881920993,NA,0.801683020698525,0.509699735328503,0.962700288135078,0.373688674127698,0.754913640225839,NA,0.714454439150446,0.860896427025599,0.102610136673589,0.798958925133464,0.953394765870586,0.328237232001218,0.459774008782152,0.830360906750613,0.627071954220979,0.349719572254364,0.734441670134075,NA,0.69427565417859,NA,0.844989252900821,0.717666955023425,0.725228788904652,0.653329754108653,0.981097958609112,0.801670696045575,NA,0.646063613039582,0.686020374659499,NA,NA,NA
"GarageArea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906707964156853,0.898445744139751,0.715327644545231,0.832704712177034,0.28025780592337,0.700955208634447,0.466107896347132,0.692777294696328,0.528499984237202,0.0605510587854691,0.344356719413031,0.844989252898937,0.881519454189223,0.793777050036263,0.204244785413383,0.17691444600087,0.362550821419597,0.824289547839176,0.35967910178624,0.315392499097208,0.748036016654452,0.310051583787719,0.989898896699738,0.941779678487175,NA,0.911477840542709,0.131906944949259,0.634906966613147,0.982758444048451,0.368563804933112,NA,0.723711550384284,0.798393451139461,0.874034722409249,0.747028597397229,0.685425011494896,0.895905022262643,0.0152528533993634,0.679017664217181,0.637582253098601,0.53019059923006,0.409551309505535,NA,0.761600083861883,NA,0.844989252898042,0.732099643047878,0.430644925674682,0.660883335072896,0.74956232204462,0.534259954940456,NA,0.6017540014944,0.448612379743001,NA,NA,NA
"WoodDeckSF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81774364893975,0.723068402243837,0.658123369313926,0.0918809619978405,0.0636832120350892,0.348413090753154,0.759914752908972,0.868288902082018,0.764954702177909,0.518253072012822,0.844989252897716,0.690895513591708,0.134843590882429,0.758831959145498,0.733248135740993,0.981907446288009,0.539102070769474,0.530609440830813,0.273093320555725,0.926681375870027,0.263779410606919,0.395798528110204,0.765120506458716,NA,0.832812146532699,0.922646071270025,0.396428492399445,0.505162837854566,0.783186496859052,NA,0.815520538890097,0.891644898472196,0.0172581447472639,0.742214255330434,0.969355111641382,0.495120738737372,0.458732281090599,0.983504422796663,0.0064940058648836,0.861120564790152,0.513976821433026,NA,0.115536655795082,NA,NA,0.158683035944276,0.291398296127453,0.654130646830618,0.670696117764639,0.00638883636109817,NA,0.421328929069538,0.52805206335478,NA,NA,NA
"OpenPorchSF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755586554557285,0.697206210273621,0.92889912387988,0.666199942536891,0.850174337210511,0.546277469843338,0.546385639489092,0.987842699912346,0.579282017448605,0.844989252897674,0.965318143597425,0.746630099890232,0.974102352822512,0.502823521302801,0.994474242227741,0.771531568461365,0.878932122914819,0.965550474731056,0.648482493025231,0.443213823794653,0.999308213875071,0.771452625771233,NA,0.922724598552539,0.989979421883512,0.502917354354486,0.614294445987469,0.979874982964102,NA,0.788954186590799,0.817811336306517,0.450129045578235,0.798331209188161,0.768572510399117,0.256148297797077,0.826416163113651,0.831608886228229,0.845177130724938,0.737129023224606,0.565906483506419,NA,0.614228155991327,NA,0.844989252897758,0.415712466105736,NA,0.841470537967111,0.598856359638611,0.702976537502857,NA,0.95517225604688,0.958821884425268,NA,NA,NA
"EnclosedPorch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.820732449386331,0.633340199255478,0.633340199255462,0.633340199255514,NA,0.633340199255581,NA,0.916874067539809,0.633340199255478,0.633340199255577,0.936248825173795,0.633340199255459,NA,0.723068402243787,NA,0.633340199255506,NA,0.830214400047569,0.723068402243831,NA,NA,0.633340199255502,0.916874067539989,0.633340199255526,NA,NA,0.723068402243831,0.723068402243831,NA,NA,0.633340199255486,0.916874067539909,0.633340199255506,NA,NA,0.830214400047608,NA,NA,0.723068402243848,NA,NA,0.916874067539889,NA,NA,NA,0.830214400047602,NA,NA,NA,NA,NA,NA
"X3SsnPorch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.811755566787909,0.895946081323195,0.895946081323163,0.976915637358843,0.781774423661148,0.844526219962588,NA,0.845549233167796,0.591717039103105,NA,0.709869181834756,0.844526219962619,NA,0.591717039103102,0.968069489024101,0.637172779198941,NA,0.958676627271223,0.90177420270382,NA,NA,0.844526219962598,0.936113445665003,0.431487486294949,0.567990270875341,NA,0.585708874092915,0.41108468794798,NA,0.844989252897726,0.72389887640206,0.745199229221348,0.821698860518072,NA,0.927751441287109,0.989795080519272,0.844989252897779,NA,0.844989252897779,NA,0.844989252897779,0.844989252897726,NA,0.591717039103105,0.980445634092532,0.416656316319783,NA,0.963662634599782,0.976184594867769,NA,NA,NA
"ScreenPorch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090003350886478,0.733139285705409,0.606501563396758,0.0462141461265934,0.386090852399753,0.526755152631742,NA,0.847961410286803,0.243884950465137,0.482979374802108,0.765951841249701,0.669689520612034,0.42731030062952,0.00807933170298382,0.778305374210531,0.948105138644952,0.684780620208023,0.349203002986784,0.968285781616176,NA,0.803895064156796,0.628158842668356,0.158277982963381,0.463370145205555,0.388720156988493,NA,0.864949613380777,0.864949613380777,0.615321298271465,0.78723121160361,NA,0.346315458324907,0.318476863962645,0.844989252897695,0.184700220254304,0.132004299972264,NA,NA,0.149733365231372,NA,0.844989252897726,0.711043407381974,NA,0.441936071341673,0.0554785197203906,0.354803022084439,NA,0.34093454750265,0.648908148735668,NA,NA,NA
"YrSold",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43016119989269,0.28702511597925,0.45638911661511,0.791910728123342,0.689544215469474,NA,0.388352611563796,0.408661933775935,0.468137435516576,0.230142923535578,0.886916522304065,0.975076526842228,0.523620071600977,0.74042527248399,0.271148965338373,0.542669139283055,0.542659006313695,0.635902643265488,NA,0.615715488457398,0.83247707952781,0.880849217910845,0.861412947568033,0.714096414357903,NA,0.798231237221456,0.660991202525307,0.486389005369377,0.654608186185581,0.429327843688245,0.414336878456707,0.653315105395831,0.938307734403999,0.997250598346001,0.633206259346544,0.748495106696022,NA,0.902735998819467,NA,0.844989252850566,0.596238736631875,0.416524429816232,0.759497531529476,0.545669709382468,0.736038522605102,NA,0.315882556058988,0.32335765904801,NA,NA,NA
